"c..Marco.Buschmann....Hakan.Demir....Hubertus.Heil....Marie.Agnes.Strack.Zimmermann...","c...FDP.....SPD.....SPD.....FDP.....AfD.....FDP.....Bündnis.90.Die.Grünen...","c..Bundestag....Bundestag....Bundestag....Bundestag....Bundestag...","c..https...www.abgeordnetenwatch.de..profile.marco.buschmann..."
"Andreas Schwarz"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/andreas-schwarz-0"
"Yvonne Magwas"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/yvonne-magwas"
"Ria Schröder"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/ria-schroeder"
"Julia Willie Hamburg"," Bündnis 90/Die Grünen","Niedersachsen","https://www.abgeordnetenwatch.de//profile/julia-willie-hamburg"
"Agnieszka Brugger"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/agnieszka-brugger"
"Merle Spellerberg"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/merle-spellerberg"
"Yvonne Magwas"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/yvonne-magwas"
"Otto Fricke"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/otto-fricke"
"Kathrin Henneberger"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/kathrin-henneberger"
"Renata Alt"," FDP","Bundestag","https://www.abgeordnetenwatch.de//profile/renata-alt"
"Sabine Dittmar"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sabine-dittmar"
"Macit Karaahmetoğlu"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/macit-karaahmetoglu"
"Thomas Heilmann"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/thomas-heilmann"
"Joachim Schuster"," SPD","EU-Parlament","https://www.abgeordnetenwatch.de//profile/joachim-schuster"
"Axel Echeverria"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/axel-echeverria"
"Oliver Hildenbrand"," Bündnis 90/Die Grünen","Baden-Württemberg","https://www.abgeordnetenwatch.de//profile/oliver-hildenbrand"
"Rainer Wieland"," CDU","EU-Parlament","https://www.abgeordnetenwatch.de//profile/rainer-wieland"
"Claudia Moll"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/claudia-moll"
"Jan Plobner"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/jan-plobner"
"Christos Pantazis"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/christos-pantazis"
"Johann Wadephul"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/johann-wadephul"
"Franziska Giffey"," SPD","Berlin","https://www.abgeordnetenwatch.de//profile/franziska-giffey"
"Carsten Träger"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/carsten-traeger"
"Isabel Cademartori"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/isabel-cademartori"
"Kai Gehring"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/kai-gehring"
"Stefan Schmidt"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/stefan-schmidt"
"Harald Ebner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/harald-ebner"
"Irene Mihalic"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/irene-mihalic"
"Boris Mijatović"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/boris-mijatovic"
"Michael Kellner"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/michael-kellner"
"Valentin Lippmann"," Bündnis 90/Die Grünen","Sachsen","https://www.abgeordnetenwatch.de//profile/valentin-lippmann"
"Wolfgang Stefinger"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/wolfgang-stefinger"
"Björn Simon"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/bjoern-simon"
"Sebastian Hartmann"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sebastian-hartmann"
"Simona Koß"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/simona-koss"
"Edgar Franke"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/edgar-franke"
"Philip Krämer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/philip-kraemer"
"Annika Klose"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/annika-klose"
