"Name","Party","Parliament","Q_A_Link","ID","Q_asked","Q_answered"
"Björn Simon"," CDU","Bundestag","https://www.abgeordnetenwatch.de//profile/bjoern-simon/fragen-antworten?page=0",145888,29,29
"Sebastian Hartmann"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/sebastian-hartmann/fragen-antworten?page=0",79326,30,29
"Karamba Diaby"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/karamba-diaby/fragen-antworten?page=0",79409,30,30
"Bernhard Loos"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/bernhard-loos/fragen-antworten?page=0",145899,29,29
"Bernd Westphal"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/bernd-westphal/fragen-antworten?page=0",78926,28,28
"Frank Bsirske"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/frank-bsirske/fragen-antworten?page=0",175563,29,28
"Edgar Franke"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/edgar-franke/fragen-antworten?page=0",79376,28,28
"Philip Krämer"," Bündnis 90/Die Grünen","Bundestag","https://www.abgeordnetenwatch.de//profile/philip-kraemer/fragen-antworten?page=0",159644,28,28
"Annika Klose"," SPD","Bundestag","https://www.abgeordnetenwatch.de//profile/annika-klose/fragen-antworten?page=0",175401,31,28
"Alois Rainer"," CSU","Bundestag","https://www.abgeordnetenwatch.de//profile/alois-rainer/fragen-antworten?page=0",79067,29,28
